dim,icc,rho_arat,rho_fma,cohens_d,abs_d,stream
72,0.9700924,0.2585132129705774,0.21949171752981791,0.01840309239923954,0.01840309239923954,acc_std
73,0.9720358,0.027019972263869357,-0.007182111066205641,0.3903610110282898,0.3903610110282898,acc_std
74,0.96672976,-0.006032571180301644,-0.041016992218091394,0.41409236192703247,0.41409236192703247,acc_std
75,0.96712005,0.6015761127635189,0.5863060339614458,-0.9707427024841309,0.9707427024841309,acc_std
76,0.9514494,0.40837432919703115,0.3706137900687839,-0.41107237339019775,0.41107237339019775,acc_std
77,0.9675893,0.20715234638968041,0.17117506488813275,0.05886562168598175,0.05886562168598175,acc_std
78,0.94713706,0.0693447580240604,0.03474356861853717,0.28447863459587097,0.28447863459587097,acc_std
79,0.9702118,0.044663946013777406,0.009331253593715652,0.4430943727493286,0.4430943727493286,acc_std
80,0.9486821,0.41629774093981475,0.37691505430561417,-0.3034370541572571,0.3034370541572571,acc_std
81,0.9630672,-0.03561934789324043,-0.06900688624406112,0.4619234800338745,0.4619234800338745,acc_std
82,0.9698918,0.720406382805687,0.7049620566812689,-1.1742233037948608,1.1742233037948608,acc_std
83,0.9688238,0.05126717628275602,0.01634013402798094,0.42233893275260925,0.42233893275260925,acc_std
84,0.9682083,0.4400772677679811,0.40189893285679756,-0.3480086028575897,0.3480086028575897,acc_std
85,0.95617026,0.2850980286430812,0.24985425253254212,-0.01223370898514986,0.01223370898514986,acc_std
86,0.9680852,0.06504042440946704,0.02700309810473806,0.39938414096832275,0.39938414096832275,acc_std
87,0.90714085,0.5374547824358151,0.5016790035034058,-0.7171564698219299,0.7171564698219299,acc_std
88,0.97499627,0.28502059864461754,0.24832147078028416,-0.1178862452507019,0.1178862452507019,acc_std
89,0.93024904,-0.25486083994304787,-0.28812584857479306,0.6373655200004578,0.6373655200004578,acc_std
90,0.9539904,0.6972261641656292,0.670481427414784,-0.8549919128417969,0.8549919128417969,acc_std
91,0.8452638,0.5666776381559748,0.55924648123112,-0.5450422167778015,0.5450422167778015,acc_std
92,0.9636757,0.6191976318138724,0.5872417887143379,-0.6715902090072632,0.6715902090072632,acc_std
93,0.969646,0.060066321308163265,0.023775130882778085,0.3961835205554962,0.3961835205554962,acc_std
94,0.98074406,0.7585398827490416,0.7437958789262906,-1.0627403259277344,1.0627403259277344,acc_std
95,0.95922554,0.08441573292502191,0.04753711479795355,0.4392246603965759,0.4392246603965759,acc_std
96,0.9659033,0.28391025246664897,0.24358005558195245,-0.0728907510638237,0.0728907510638237,acc_std
97,0.97458965,-0.2089363335542825,-0.24171937299066454,0.7503491640090942,0.7503491640090942,acc_std
98,0.91855264,0.3894341772728419,0.37458262758270305,-0.5285585522651672,0.5285585522651672,acc_std
99,0.8381804,-0.3810074705400448,-0.39478410333067593,0.6991691589355469,0.6991691589355469,acc_std
100,0.9501226,0.3212276402261969,0.2866162673535986,-0.1403985321521759,0.1403985321521759,acc_std
101,0.9575972,0.17268825407351737,0.13799521206327148,0.10986435413360596,0.10986435413360596,acc_std
102,0.94883984,-0.27989628134629424,-0.30491375285229844,0.7981868982315063,0.7981868982315063,acc_std
103,0.95237565,0.5360827228630395,0.5057893642568119,-0.6480041742324829,0.6480041742324829,acc_std
