dim,cohens_d,abs_d,stream
126,0.7168518900871277,0.7168518900871277,acc_std
127,0.38191381096839905,0.38191381096839905,acc_std
128,-0.32269442081451416,0.32269442081451416,gravity
129,-0.33506011962890625,0.33506011962890625,gravity
130,-0.344146728515625,0.344146728515625,gravity
131,-0.3490356504917145,0.3490356504917145,gravity
132,-0.3496353030204773,0.3496353030204773,gravity
133,-0.34529924392700195,0.34529924392700195,gravity
134,-0.3339826166629791,0.3339826166629791,gravity
135,-0.3110051453113556,0.3110051453113556,gravity
136,-0.2675647735595703,0.2675647735595703,gravity
137,-0.1924615055322647,0.1924615055322647,gravity
138,-0.08702486753463745,0.08702486753463745,gravity
139,0.019010761752724648,0.019010761752724648,gravity
140,0.09585690498352051,0.09585690498352051,gravity
141,0.1363806277513504,0.1363806277513504,gravity
142,0.14433489739894867,0.14433489739894867,gravity
143,0.12191134691238403,0.12191134691238403,gravity
144,0.06788063794374466,0.06788063794374466,gravity
145,-0.01860705204308033,0.01860705204308033,gravity
146,-0.1313145011663437,0.1313145011663437,gravity
147,-0.2536065876483917,0.2536065876483917,gravity
148,-0.36535555124282837,0.36535555124282837,gravity
149,-0.453082412481308,0.453082412481308,gravity
150,-0.5129034519195557,0.5129034519195557,gravity
151,-0.542949378490448,0.542949378490448,gravity
152,-0.5412874817848206,0.5412874817848206,gravity
153,-0.5085815787315369,0.5085815787315369,gravity
154,-0.4515676498413086,0.4515676498413086,gravity
155,-0.38249215483665466,0.38249215483665466,gravity
156,-0.31444135308265686,0.31444135308265686,gravity
157,-0.25728046894073486,0.25728046894073486,gravity
158,-0.21830275654792786,0.21830275654792786,gravity
159,-0.19987715780735016,0.19987715780735016,gravity
160,-0.199723482131958,0.199723482131958,gravity
161,-0.21487756073474884,0.21487756073474884,gravity
162,-0.24010425806045532,0.24010425806045532,gravity
163,-0.2678931653499603,0.2678931653499603,gravity
164,-0.2893334627151489,0.2893334627151489,gravity
165,-0.2962110638618469,0.2962110638618469,gravity
166,-0.2835053503513336,0.2835053503513336,gravity
167,-0.25046974420547485,0.25046974420547485,gravity
168,-0.19899815320968628,0.19899815320968628,gravity
169,-0.13341327011585236,0.13341327011585236,gravity
170,-0.05893851816654205,0.05893851816654205,gravity
171,0.019209597259759903,0.019209597259759903,gravity
172,0.09525985270738602,0.09525985270738602,gravity
173,0.16410094499588013,0.16410094499588013,gravity
174,0.22266878187656403,0.22266878187656403,gravity
175,0.2702427804470062,0.2702427804470062,gravity
176,0.3076208233833313,0.3076208233833313,gravity
177,0.3360905349254608,0.3360905349254608,gravity
178,0.35697194933891296,0.35697194933891296,gravity
179,0.37223222851753235,0.37223222851753235,gravity
180,0.38450413942337036,0.38450413942337036,gravity
181,0.39759355783462524,0.39759355783462524,gravity
182,0.4162965714931488,0.4162965714931488,gravity
183,0.445247083902359,0.445247083902359,gravity
184,0.48691022396087646,0.48691022396087646,gravity
185,0.5394374132156372,0.5394374132156372,gravity
186,0.5961901545524597,0.5961901545524597,gravity
187,0.648373007774353,0.648373007774353,gravity
188,0.6894585490226746,0.6894585490226746,gravity
189,0.7143972516059875,0.7143972516059875,gravity
190,0.7207619547843933,0.7207619547843933,gravity
191,0.7083099484443665,0.7083099484443665,gravity
192,0.6773578524589539,0.6773578524589539,gravity
193,0.6285816431045532,0.6285816431045532,gravity
194,0.5629868507385254,0.5629868507385254,gravity
195,0.48213425278663635,0.48213425278663635,gravity
196,0.38885194063186646,0.38885194063186646,gravity
197,0.2884593904018402,0.2884593904018402,gravity
198,0.19124948978424072,0.19124948978424072,gravity
199,0.10916496068239212,0.10916496068239212,gravity
200,0.04982126131653786,0.04982126131653786,gravity
201,0.017051642760634422,0.017051642760634422,gravity
202,0.009365296922624111,0.009365296922624111,gravity
203,0.02163194864988327,0.02163194864988327,gravity
204,0.046859852969646454,0.046859852969646454,gravity
205,0.0770910456776619,0.0770910456776619,gravity
206,0.10358840972185135,0.10358840972185135,gravity
207,0.11692216992378235,0.11692216992378235,gravity
208,0.10621300339698792,0.10621300339698792,gravity
209,0.06406821310520172,0.06406821310520172,gravity
210,-0.008292782120406628,0.008292782120406628,gravity
211,-0.1027495414018631,0.1027495414018631,gravity
212,-0.2050412893295288,0.2050412893295288,gravity
213,-0.30025914311408997,0.30025914311408997,gravity
214,-0.37755513191223145,0.37755513191223145,gravity
215,-0.43121182918548584,0.43121182918548584,gravity
216,-0.459075391292572,0.459075391292572,gravity
217,-0.46052733063697815,0.46052733063697815,gravity
218,-0.4345090985298157,0.4345090985298157,gravity
219,-0.38189586997032166,0.38189586997032166,gravity
220,-0.3066929280757904,0.3066929280757904,gravity
221,-0.2173999845981598,0.2173999845981598,gravity
222,-0.1288452446460724,0.1288452446460724,gravity
223,-0.05744677782058716,0.05744677782058716,gravity
224,-0.014071713201701641,0.014071713201701641,gravity
