feature,rho_ARAT,p_ARAT,rho_FMA,p_FMA,sig_ARAT,sig_FMA
jerk_mag_max_p50,0.5940824375122085,2.8212577622302735e-20,0.5852999042643279,1.3571644047640382e-19,True,True
Y_vel_max_p90,0.5909682029740011,4.951282917551126e-20,0.5746384868896417,8.581219407786041e-19,True,True
X_acc_max_std,0.5891888616093068,6.8093859232422e-20,0.5699009384464873,1.90635742109208e-18,True,True
path_length_std,0.5881373622301708,8.212782284542328e-20,0.5667085453721579,3.2409727790125135e-18,True,True
vel_mag_mean_std,0.5871214806503279,9.836395468413132e-20,0.5657364431205997,3.805065520351547e-18,True,True
X_acc_std_std,0.5869929468528782,1.0063037084179031e-19,0.5658725529028384,3.720648675409073e-18,True,True
Z_jerk_max_mean,0.5856634737792576,1.2729179149233956e-19,0.576113267314241,6.675614342524364e-19,True,True
acc_mag_max_p90,0.5851253352899354,1.3995349180197063e-19,0.5581359491442166,1.310421708435372e-17,True,True
Z_jerk_std_mean,0.5848969167944676,1.4569390940930702e-19,0.5758178472186999,7.020709961709013e-19,True,True
Y_vel_max_iqr,0.5845655164010434,1.5443489037968646e-19,0.5723748884088853,1.2585690779922138e-18,True,True
jerk_mag_max_p10,0.5841110023100619,1.6726417155596824e-19,0.5925152694250578,3.747126265476773e-20,True,True
X_jerk_max_mean,0.5826390580392681,2.1640662705123624e-19,0.581222797605446,2.7693261369491627e-19,True,True
Y_acc_std_p90,0.5821001452499612,2.37731496436685e-19,0.5625649305242273,6.399312212179156e-18,True,True
jerk_mag_std_p10,0.5816587942587186,2.5671876099390603e-19,0.5872982433399256,9.532868607981813e-20,True,True
Y_jerk_max_p10,0.5811260758692887,2.816239947176427e-19,0.6056135159124407,3.3306702281806908e-21,True,True
jerk_mag_std_p50,0.5785840490197277,4.37065629435663e-19,0.5633599353886679,5.6203811616768436e-18,True,True
X_jerk_max_p50,0.5782464542264262,4.632031764185295e-19,0.5796064939413597,3.6641424569381113e-19,True,True
X_jerk_std_mean,0.5771577884480276,5.58364856026579e-19,0.576427247834633,6.327060466014664e-19,True,True
X_jerk_std_p50,0.5762448887661413,6.527266713801432e-19,0.5770142212705379,5.722644077948235e-19,True,True
Y_acc_max_std,0.5760025328709502,6.80297588351842e-19,0.5576549248001679,1.415599175000935e-17,True,True
Y_vel_std_p90,0.5757679199756053,7.080734687997489e-19,0.5562737198508578,1.7656931805475132e-17,True,True
X_jerk_max_p90,0.5756300945783401,7.249057042995644e-19,0.5722356852225047,1.2884391369280907e-18,True,True
jerk_mag_mean_mean,0.5741581503075464,9.310029287711251e-19,0.5751040442129813,7.928315567352889e-19,True,True
jerk_mag_max_mean,0.5735673594192688,1.0289980549582076e-18,0.5618356604977999,7.206219074667393e-18,True,True
acc_mag_std_p90,0.5707938168743016,1.6417105971689188e-18,0.5445605450679624,1.1046944116173864e-16,True,True
Z_vel_std_std,0.5684136187215295,2.4428097110669164e-18,0.5426287141814132,1.484629668797302e-16,True,True
vel_mag_max_std,0.562648955335912,6.312231204084972e-18,0.5367790869492844,3.5922119166111085e-16,True,True
jerk_mag_std_mean,0.5597685593930648,1.0074120550408652e-17,0.5447159886260874,1.0786401551587429e-16,True,True
jerk_mag_mean_p10,0.5594007669003627,1.0690292130941312e-17,0.5743562137617031,9.00244082879536e-19,True,True
X_jerk_std_p90,0.5578769445305983,1.3660651481508185e-17,0.555602451152089,1.965164835791082e-17,True,True
Z_acc_max_iqr,0.5578552641310285,1.3708264281565432e-17,0.5302767514432376,9.403654094562133e-16,True,True
Y_acc_max_iqr,0.5522988874412782,3.316242542804764e-17,0.5322627169022681,7.024254457739152e-16,True,True
Y_vel_std_iqr,0.5515253617566266,3.745364570048707e-17,0.5284848970941046,1.2215175331251411e-15,True,True
Z_acc_std_iqr,0.5514835495574562,3.7700477103282586e-17,0.517434484148588,5.927708400714114e-15,True,True
X_jerk_max_std,0.5489957237068196,5.563786494105347e-17,0.5472912475741293,7.250465990433536e-17,True,True
vel_mag_std_std,0.5481316049239655,6.36431103974822e-17,0.5211767298091209,3.4942875236132854e-15,True,True
Y_vel_max_std,0.5477088371323541,6.795992695484494e-17,0.5278878700947387,1.3323008914285707e-15,True,True
Z_acc_max_std,0.5473162670401434,7.22241862713807e-17,0.5255894708173873,1.8580514861858883e-15,True,True
acc_mag_mean_std,0.5468927249485473,7.711855102203002e-17,0.5286264203335915,1.1966070316789438e-15,True,True
Y_jerk_std_p50,0.5468207150499762,7.798235417040316e-17,0.5539289195113795,2.5634970274128452e-17,True,True
acc_mag_std_iqr,0.5333084060180876,6.01942608300066e-16,0.5048226754625019,3.3576856728674275e-14,True,True
acc_mag_max_iqr,0.5317164452496753,7.612598561460104e-16,0.5021870951336951,4.7813524056551346e-14,True,True
X_jerk_std_std,0.5298356705869937,1.0030517326572617e-15,0.5288901330366793,1.151506866912976e-15,True,True
Y_acc_std_iqr,0.5282824248178132,1.2580394511003597e-15,0.5053818082611309,3.113888321964701e-14,True,True
Z_jerk_max_p90,0.5258232480666082,1.796447813961145e-15,0.5044854944110466,3.5136055863677066e-14,True,True
jerk_mag_max_p90,0.5231697220192595,2.630052643117033e-15,0.5056571212297503,3.000278769578132e-14,True,True
Y_jerk_max_mean,0.5216311879497871,3.2756111420779478e-15,0.5222710215242798,2.9902439392576526e-15,True,True
Y_jerk_max_p50,0.521222357557899,3.471703782518618e-15,0.5260070803765291,1.7494114420232731e-15,True,True
jerk_mag_mean_iqr,0.5199881233823888,4.135867496006558e-15,0.509796095971468,1.708989556245098e-14,True,True
Y_jerk_std_mean,0.5190628349007484,4.7136697170709066e-15,0.5221650724324235,3.0357591126868575e-15,True,True
X_acc_std_p10,0.517194449037821,6.130746019066891e-15,0.4992878021018005,7.029185950157298e-14,True,True
