feature,importance,std
displacement_iqr,0.001381173925865662,0.0026880722419100906
X_vel_max_std,0.0013746805122860657,0.0022045812012893335
Y_jerk_std_iqr,0.0013363178395392802,0.0019650147867292123
Y_acc_mean_mean,0.0013362385946648755,0.0014443580821242997
jerk_mag_std_p50,0.0013118571021773818,0.002611756391110741
X_jerk_mean_p50,0.0013032586923579891,0.0009828979946508902
X_jerk_std_p10,0.0012938819147636858,0.0012818114064018146
acc_mag_max_mean,0.0012776399802106387,0.002031287619597183
acc_mag_max_iqr,0.0012710501430965055,0.0015045846531745754
X_vel_mean_p10,0.0012535181334232082,0.0022206024087552947
Z_jerk_max_p10,0.0012280399370384499,0.001864388426188096
X_jerk_max_iqr,0.0012271507917126672,0.0019516256610829404
Z_acc_mean_mean,0.0011843366542647529,0.0006386084031538415
Z_jerk_std_mean,0.0011645402840597904,0.0025161019271273963
Y_acc_max_iqr,0.0011413259250531802,0.001074453101719061
Z_vel_max_p10,0.0010929521676913828,0.0014784580745316382
X_acc_std_mean,0.001081279698726426,0.002229531499015058
Z_vel_max_std,0.0010550455215677693,0.0007220006314778287
Y_jerk_max_iqr,0.0010489825793440469,0.0017629364989444874
X_vel_std_p90,0.0010357282966057383,0.0018074242657948115
vel_mag_std_p50,0.0010298403651069594,0.0006267045932417042
Y_jerk_max_p50,0.0010272507475635715,0.001842853086495332
Z_vel_max_p90,0.0010054226740908944,0.0012012321337158335
Y_vel_mean_mean,0.001003338703762238,0.0007364262535638572
Y_jerk_max_p90,0.0009891926801912012,0.0014035252299284843
jerk_mag_mean_p90,0.0009571474176158509,0.0011956822420426906
X_acc_max_mean,0.000943751364661099,0.002105942442057477
X_vel_mean_iqr,0.0009267011588783696,0.00151015047131314
Z_acc_max_std,0.0009057736809263747,0.0013577221140564147
displacement_p10,0.0009001937722471772,0.0008101501471066441
acc_mag_mean_std,0.0008958214683109379,0.0016189436183668498
displacement_std,0.0008545582903186073,0.0011149421255991646
Z_jerk_std_p90,0.0008542837673770673,0.0018725465387642748
Z_jerk_max_mean,0.0008415577030148225,0.0022119681101114824
vel_mag_mean_p10,0.0008386145101486525,0.0009279643833298621
vel_mag_std_p90,0.0008106747050446966,0.0007060447269211193
vel_mag_std_p10,0.0007405515670968598,0.000649923713389238
X_jerk_mean_mean,0.0007322773482681748,0.0011595044648015904
vel_mag_max_p10,0.0007180943767174875,0.0007398168146113217
acc_mag_std_p90,0.0007109400046864526,0.0015113518428636309
vel_mag_max_mean,0.0006924226693740942,0.0010239441789296983
Z_vel_max_iqr,0.0006902199609318542,0.000827545856665563
acc_mag_mean_iqr,0.0006836759091075196,0.0015944924937002873
Z_jerk_std_std,0.0006834965699734468,0.001052962136069941
Z_jerk_max_p90,0.0006684095936769049,0.0015768388360518533
Y_acc_std_p90,0.0006435914725458539,0.0009649166549346891
X_acc_mean_p90,0.0006255816849066237,0.001277525380219547
Z_vel_mean_iqr,0.0006114865989821694,0.0008077611045266908
Y_jerk_max_std,0.0006059979174380186,0.0011431255795832996
Z_vel_std_p50,0.0005922329554372422,0.001395880537324422
jerk_mag_std_p90,0.0005906857424363024,0.0010368174730777636
Z_jerk_std_iqr,0.000567258391652612,0.0016008831619230943
X_acc_max_iqr,0.0005649523820957467,0.0015075463343965196
Z_acc_std_std,0.0005524551231992333,0.000505623125254425
X_vel_max_p50,0.0005322480720322219,0.0006793574886440699
jerk_mag_max_std,0.0005018750348841907,0.0003108773324569325
acc_mag_max_p10,0.0005015554727360777,0.0010183008464076644
Z_jerk_mean_p90,0.00048802985047171027,0.0011992262662586224
Y_vel_mean_p50,0.0004827705031401726,0.0008181264073953426
path_length_p90,0.0004721387619695177,0.0012995592020486166
jerk_mag_std_iqr,0.00046285385211770273,0.0009446042084518578
acc_mag_max_p90,0.0004434537740313227,0.0009322133938959459
displacement_p50,0.0004425847050244599,0.0008690708482119887
X_acc_std_std,0.0004270206720643062,0.0005419954057906747
Z_acc_mean_p90,0.00041909689086914125,0.0008904820723722506
acc_mag_std_p10,0.0004012713199113432,0.0006681859423225085
displacement_mean,0.00035643313915423427,0.0007687582168672378
vel_mag_std_mean,0.0003417506171528289,0.00045409540108438875
X_vel_std_p50,0.00033995063843504246,0.0008163875872209057
vel_mag_max_p90,0.0003282100682983561,0.0005857609261654695
Z_jerk_max_p50,0.0003274286297745461,0.00036162314915135396
jerk_mag_max_mean,0.00032327621776047,0.000971866667665311
Z_vel_max_mean,0.00032161956395747006,0.001058029308742218
displacement_p90,0.0003206625967260791,0.0006599872829236467
X_acc_std_p90,0.0003027162633560444,0.0009625040156256755
Z_vel_mean_p90,0.0002828007522641323,0.0007728671708450254
jerk_mag_mean_iqr,0.00027773735267688717,0.0006217222993476925
Z_jerk_max_std,0.00021746913852652969,0.00045558052424765687
X_acc_max_p90,0.00015105747989406358,0.000876409398793461
path_length_mean,5.8117887676162115e-05,0.00013947263672374694
jerk_mag_max_p90,3.3954803064503494e-05,0.00010472384396284783
acc_mag_mean_p90,1.988177497937898e-05,4.812844220964728e-05
jerk_mag_max_iqr,1.2466490229883022e-05,3.901029757329703e-05
jerk_mag_std_mean,7.622402353507178e-06,1.958419949721389e-05
