,PC1,PC2
X_vel_mean_std,0.0730347091277328,-0.03192063172023447
X_vel_mean_iqr,0.06924497745380351,-0.03272912512354653
X_vel_mean_p10,-0.07187039160712398,0.03933149608929016
X_vel_mean_p50,8.987443305995826e-05,-0.02609741997878711
X_vel_mean_p90,0.07239507440857623,-0.043838235189325905
X_vel_std_mean,0.07370093919620274,-0.032388191169236615
X_vel_std_std,0.06896249317503018,-0.03348209016178037
X_vel_std_iqr,0.07092190748648022,-0.06190578448832952
X_vel_std_p10,0.057265582276932514,0.021534191650063785
X_vel_std_p50,0.07172765703773294,-0.03045088569880387
X_vel_std_p90,0.07361972658771611,-0.038210197463398196
X_vel_max_mean,0.07441359817625494,-0.019908965500226142
X_vel_max_std,0.07179047805417711,-0.028086454669132448
X_vel_max_iqr,0.07305791952870293,-0.04087856000899868
X_vel_max_p10,0.012609355579322043,0.1451783710740827
X_vel_max_p50,0.07139880360348169,-0.0024137129316338193
X_vel_max_p90,0.07377892779302399,-0.03447247696432981
Y_vel_mean_mean,-0.00010778373899127747,-0.012509989346470157
Y_vel_mean_std,0.07055261081283778,-0.07869706350484902
Y_vel_mean_iqr,0.06898553283844831,-0.06942895751375483
Y_vel_mean_p10,-0.06925956227489234,0.07826133361709414
Y_vel_mean_p50,0.0011801452217616673,-0.009722486822314245
Y_vel_mean_p90,0.06876217117451852,-0.0806905383959171
Y_vel_std_mean,0.07097771481099183,-0.07966929583642107
Y_vel_std_std,0.06190316590796069,-0.08676030924527273
Y_vel_std_iqr,0.06587226030198,-0.10575031292166569
Y_vel_std_p10,0.06444134559486643,-0.021927978973639215
Y_vel_std_p50,0.06966562715580472,-0.07293900578788408
Y_vel_std_p90,0.06881041051202841,-0.092311023372481
Y_vel_max_mean,0.07219194141639404,-0.06435311594752888
Y_vel_max_std,0.06814650496934546,-0.0790266241682625
Y_vel_max_iqr,0.07088495861470463,-0.07814072494917668
Y_vel_max_p10,0.019841569612707947,0.05849630643205091
Y_vel_max_p50,0.07097883401469943,-0.039307133343618135
Y_vel_max_p90,0.07053238967114409,-0.07956874537544376
Z_vel_mean_mean,0.003244939999511427,-0.01704336389410946
Z_vel_mean_std,0.07109564703967546,-0.07331733804561047
Z_vel_mean_iqr,0.06807411607182261,-0.06868878720452375
Z_vel_mean_p10,-0.06953051647425645,0.07012235927646439
Z_vel_mean_p50,0.005355553343294215,-0.011991947530542677
Z_vel_mean_p90,0.07008897761293292,-0.07756042272912819
Z_vel_std_mean,0.07158435826462284,-0.07271806837349248
Z_vel_std_std,0.06731712501028411,-0.08330663101207787
Z_vel_std_iqr,0.06789235131269832,-0.09656680818969654
Z_vel_std_p10,0.06286829504753996,-0.021067067857986222
Z_vel_std_p50,0.06952317074486161,-0.07125849011095554
Z_vel_std_p90,0.07139994510873425,-0.08014189134357855
Z_vel_max_mean,0.07295611347776709,-0.059887359233219084
Z_vel_max_std,0.07110157811092524,-0.07803886176386464
Z_vel_max_iqr,0.0701950017200636,-0.08071396033483971
Z_vel_max_p10,0.03537514843737871,0.09619719974152534
Z_vel_max_p50,0.07076753456581682,-0.03897116257881503
Z_vel_max_p90,0.07225840331652582,-0.07265198576547083
vel_mag_mean_mean,0.07493673101206845,-0.06433402637047878
vel_mag_mean_std,0.06997728594236817,-0.05740492576151912
vel_mag_mean_iqr,0.07198384008522789,-0.06907527892010004
vel_mag_mean_p10,0.06686552624023637,-0.04125724064932465
vel_mag_mean_p50,0.07360032045676461,-0.0682282821481898
vel_mag_mean_p90,0.07476215623632182,-0.06448317282396633
vel_mag_std_mean,0.07289755149014032,-0.08502655703719607
vel_mag_std_std,0.06698672020027611,-0.07129137276649826
vel_mag_std_iqr,0.06968865507440329,-0.08948003717049006
vel_mag_std_p10,0.06585962193184233,-0.06507430283211432
vel_mag_std_p50,0.0712633908789869,-0.08878212255864101
vel_mag_std_p90,0.07281177809746568,-0.08152151453862667
vel_mag_max_mean,0.07461717954684416,-0.07000954158812528
vel_mag_max_std,0.0690258013912265,-0.06150979082969987
vel_mag_max_iqr,0.0709295121744051,-0.07590173656210861
vel_mag_max_p10,0.06723686964412508,-0.049761070566530466
