dim,icc,sd,SEM,MDC,stream
314,0.36891854,0.002076944,0.0016499376,0.004573393675802666,gravity
315,0.37070525,0.0020751983,0.0016462154,0.004563076410461338,gravity
316,0.37242177,0.0020742386,0.0016432084,0.004554741410187153,gravity
317,0.3743317,0.0020726728,0.0016394675,0.00454437219226959,gravity
318,0.3760774,0.002072197,0.0016368029,0.004536986213900414,gravity
319,0.37765208,0.0020728107,0.0016352203,0.004532599286733261,gravity
320,0.37935367,0.0020728477,0.0016330124,0.004526479531402254,gravity
321,0.38092324,0.0020736007,0.0016315386,0.004522394316401434,gravity
322,0.3822936,0.002075398,0.0016311447,0.004521302344240077,gravity
323,0.38362122,0.0020772745,0.001630864,0.004520524346343791,gravity
324,0.3848944,0.0020791942,0.0016306842,0.004520026117910832,gravity
325,0.3859467,0.0020821057,0.0016315704,0.004522482409900267,gravity
326,0.38682252,0.0020856971,0.0016332187,0.004527051332427645,gravity
327,0.3877025,0.0020887011,0.001634397,0.004530317245620638,gravity
328,0.38834736,0.002092641,0.0016366174,0.0045364718511270085,gravity
329,0.38875753,0.0020975096,0.0016398749,0.004545501273413971,gravity
330,0.38913566,0.0021017967,0.0016427183,0.004553382898721635,gravity
331,0.38931412,0.00210666,0.0016462788,0.004563251952085385,gravity
332,0.3892549,0.0021123907,0.0016508373,0.004575887399461934,gravity
333,0.38906837,0.0021181128,0.0016555617,0.004588982998227991,gravity
334,0.3887528,0.002123785,0.0016604239,0.00460246033548899,gravity
335,0.38820505,0.002130261,0.0016662331,0.004618562407253676,gravity
336,0.38746268,0.002137254,0.0016727167,0.0046365341263891946,gravity
337,0.38665533,0.0021436114,0.0016787976,0.004653389671852688,gravity
338,0.38562846,0.0021507086,0.0016857652,0.004672702800052852,gravity
339,0.38438916,0.0021585366,0.0016936066,0.0046944380154407064,gravity
340,0.38308924,0.0021657213,0.0017010369,0.004715033823706294,gravity
341,0.3816167,0.0021733101,0.0017090335,0.004737199180610427,gravity
342,0.37995097,0.0021815659,0.0017178345,0.004761594303364139,gravity
343,0.37818247,0.00218969,0.0017266889,0.004786137539363141,gravity
344,0.37631646,0.0021976435,0.0017355591,0.0048107243380813465,gravity
345,0.37427947,0.0022061998,0.0017451592,0.004837334383091427,gravity
346,0.3721066,0.0022150986,0.001755238,0.004865271638946561,gravity
347,0.3699114,0.0022232914,0.0017648068,0.004891794881205044,gravity
348,0.36756834,0.0022320254,0.001775031,0.004920134850197699,gravity
349,0.365086,0.0022412946,0.001785897,0.004950253791567884,gravity
350,0.36260533,0.0022498518,0.0017962143,0.0049788519100076685,gravity
