dim,icc,stream,category
497,-0.09246731,gravity,poor
498,-0.13277568,gravity,poor
499,-0.1599712,gravity,poor
500,-0.16587937,gravity,poor
501,-0.1560338,gravity,poor
502,-0.14476559,gravity,poor
503,-0.14664714,gravity,poor
504,-0.16866708,gravity,poor
505,-0.20794202,gravity,poor
506,-0.2552219,gravity,poor
507,-0.29978338,gravity,poor
508,-0.33155164,gravity,poor
509,-0.34174982,gravity,poor
510,-0.3242016,gravity,poor
511,-0.27698055,gravity,poor
512,-0.20890355,gravity,poor
513,-0.14343514,gravity,poor
514,-0.10963745,gravity,poor
515,-0.12246354,gravity,poor
516,-0.17308234,gravity,poor
517,-0.23774832,gravity,poor
518,-0.29138738,gravity,poor
519,-0.31652263,gravity,poor
520,-0.31006438,gravity,poor
521,-0.2793497,gravity,poor
522,-0.23648953,gravity,poor
523,-0.19105169,gravity,poor
524,-0.14491697,gravity,poor
525,-0.092095226,gravity,poor
526,-0.023824558,gravity,poor
527,0.047318175,gravity,poor
528,-0.13683887,gravity,poor
529,-0.029415078,gravity,poor
530,0.07581844,gravity,poor
531,0.14717488,gravity,poor
532,0.18922974,gravity,poor
533,0.21779679,gravity,poor
534,0.24410702,gravity,poor
535,0.268496,gravity,poor
536,0.28300622,gravity,poor
537,0.2799226,gravity,poor
538,0.26040775,gravity,poor
539,0.23321004,gravity,poor
540,0.20740066,gravity,poor
541,0.18858397,gravity,poor
542,0.17653896,gravity,poor
543,0.16576329,gravity,poor
544,0.14811611,gravity,poor
545,0.11790387,gravity,poor
546,0.07663086,gravity,poor
547,0.032417804,gravity,poor
548,-0.0057972884,gravity,poor
549,-0.033733368,gravity,poor
550,-0.051158633,gravity,poor
551,-0.05879859,gravity,poor
552,-0.056838386,gravity,poor
553,-0.0447217,gravity,poor
554,-0.021684844,gravity,poor
555,0.012384199,gravity,poor
556,0.055699814,gravity,poor
557,0.10331812,gravity,poor
558,0.1471721,gravity,poor
559,0.18021268,gravity,poor
560,0.1996877,gravity,poor
561,0.20565549,gravity,poor
562,0.19950555,gravity,poor
563,0.18357182,gravity,poor
564,0.16190703,gravity,poor
565,0.14013511,gravity,poor
566,0.12308783,gravity,poor
567,0.111892916,gravity,poor
568,0.10421795,gravity,poor
569,0.09492264,gravity,poor
570,0.07988498,gravity,poor
571,0.06003861,gravity,poor
572,0.041351,gravity,poor
573,0.032338087,gravity,poor
574,0.03855699,gravity,poor
575,0.05826762,gravity,poor
576,0.08260773,gravity,poor
577,0.099119544,gravity,poor
578,0.09616881,gravity,poor
579,0.06773697,gravity,poor
580,0.017776951,gravity,poor
581,-0.04338889,gravity,poor
582,-0.103692815,gravity,poor
583,-0.15269478,gravity,poor
584,-0.18306491,gravity,poor
585,-0.19136222,gravity,poor
586,-0.17892306,gravity,poor
587,-0.15179937,gravity,poor
588,-0.11834202,gravity,poor
589,-0.08495155,gravity,poor
590,-0.05354802,gravity,poor
591,-0.023705117,gravity,poor
592,0.005004003,gravity,poor
593,0.03142199,gravity,poor
594,0.052687492,gravity,poor
595,0.06555923,gravity,poor
596,0.068236254,gravity,poor
597,0.0611145,gravity,poor
598,0.04628594,gravity,poor
599,0.026886236,gravity,poor
600,0.0068388726,gravity,poor
601,-0.007977454,gravity,poor
602,-0.010195646,gravity,poor
603,0.006821072,gravity,poor
604,0.045429513,gravity,poor
605,0.10030604,gravity,poor
606,0.15748422,gravity,poor
607,0.19803146,gravity,poor
608,0.20545796,gravity,poor
609,0.17558768,gravity,poor
610,0.118393116,gravity,poor
611,0.05018392,gravity,poor
612,-0.012594068,gravity,poor
613,-0.057281222,gravity,poor
614,-0.076107204,gravity,poor
615,-0.06691403,gravity,poor
616,-0.03515103,gravity,poor
617,0.006203847,gravity,poor
618,0.04500221,gravity,poor
619,0.07853432,gravity,poor
620,0.11099233,gravity,poor
621,0.1488144,gravity,poor
622,0.19613603,gravity,poor
623,0.25278673,gravity,poor
624,0.31301212,gravity,poor
625,0.36562324,gravity,poor
626,0.3969608,gravity,poor
627,0.39287344,gravity,poor
628,0.18504386,gravity,poor
629,0.17595433,gravity,poor
630,0.16329582,gravity,poor
631,0.13592592,gravity,poor
632,0.10257571,gravity,poor
633,0.07245386,gravity,poor
634,0.052280314,gravity,poor
635,0.042078003,gravity,poor
636,0.032567903,gravity,poor
637,0.010681096,gravity,poor
638,-0.029187497,gravity,poor
639,-0.08212574,gravity,poor
640,-0.1396258,gravity,poor
641,-0.19508883,gravity,poor
642,-0.2447254,gravity,poor
643,-0.285287,gravity,poor
644,-0.31146476,gravity,poor
645,-0.31560823,gravity,poor
646,-0.2914339,gravity,poor
647,-0.23936383,gravity,poor
648,-0.16791753,gravity,poor
649,-0.09153999,gravity,poor
650,-0.02409594,gravity,poor
651,0.025626231,gravity,poor
652,0.05446276,gravity,poor
653,0.06414168,gravity,poor
654,0.059584986,gravity,poor
655,0.047081657,gravity,poor
656,0.032879397,gravity,poor
657,0.022078406,gravity,poor
658,0.018764924,gravity,poor
659,0.022214305,gravity,poor
660,0.027723854,gravity,poor
661,0.03080595,gravity,poor
662,0.026458545,gravity,poor
663,0.009321624,gravity,poor
664,-0.024519794,gravity,poor
665,-0.072914265,gravity,poor
666,-0.12499234,gravity,poor
667,-0.16696194,gravity,poor
668,-0.189447,gravity,poor
669,-0.18812197,gravity,poor
670,-0.16056314,gravity,poor
671,-0.10492715,gravity,poor
672,-0.025772242,gravity,poor
673,0.057896663,gravity,poor
674,0.114557326,gravity,poor
675,0.121043436,gravity,poor
676,0.080412135,gravity,poor
677,0.013968485,gravity,poor
678,-0.05575084,gravity,poor
679,-0.11423113,gravity,poor
680,-0.15566683,gravity,poor
681,-0.18004678,gravity,poor
682,-0.19103456,gravity,poor
683,-0.19212304,gravity,poor
684,-0.18366805,gravity,poor
685,-0.16242304,gravity,poor
686,-0.123406306,gravity,poor
687,-0.064058274,gravity,poor
688,0.009405114,gravity,poor
689,0.08149043,gravity,poor
690,0.13628839,gravity,poor
691,0.16469084,gravity,poor
692,0.16582976,gravity,poor
693,0.1434959,gravity,poor
694,0.105112575,gravity,poor
695,0.06373738,gravity,poor
696,0.03592272,gravity,poor
697,0.03099247,gravity,poor
698,0.04453925,gravity,poor
699,0.06547097,gravity,poor
700,0.085223824,gravity,poor
701,0.098958805,gravity,poor
702,0.10366306,gravity,poor
703,0.09667827,gravity,poor
704,0.07568374,gravity,poor
705,0.04060869,gravity,poor
706,-0.0034489187,gravity,poor
707,-0.04679367,gravity,poor
708,-0.082124986,gravity,poor
709,-0.10964406,gravity,poor
710,-0.13372546,gravity,poor
711,-0.15907854,gravity,poor
712,-0.18855211,gravity,poor
713,-0.22239277,gravity,poor
714,-0.25762117,gravity,poor
715,-0.28806433,gravity,poor
716,-0.30661625,gravity,poor
717,-0.30947044,gravity,poor
718,-0.2994703,gravity,poor
719,-0.28512642,gravity,poor
720,-0.27523395,gravity,poor
721,-0.2769132,gravity,poor
722,-0.29314157,gravity,poor
723,-0.3193383,gravity,poor
724,-0.3399313,gravity,poor
725,-0.33213773,gravity,poor
726,-0.28216952,gravity,poor
727,-0.20340034,gravity,poor
728,0.17663667,gravity,poor
729,0.13142031,gravity,poor
730,0.08498827,gravity,poor
731,0.046520907,gravity,poor
732,0.016580718,gravity,poor
733,-0.007995873,gravity,poor
734,-0.029771235,gravity,poor
735,-0.047617532,gravity,poor
736,-0.056859475,gravity,poor
737,-0.053554628,gravity,poor
738,-0.040537436,gravity,poor
739,-0.02724877,gravity,poor
740,-0.021037994,gravity,poor
741,-0.022556547,gravity,poor
742,-0.027886553,gravity,poor
743,-0.03213852,gravity,poor
744,-0.031789377,gravity,poor
745,-0.026187832,gravity,poor
746,-0.018517608,gravity,poor
747,-0.015134852,gravity,poor
748,-0.023013067,gravity,poor
749,-0.04386585,gravity,poor
750,-0.071988545,gravity,poor
751,-0.09891634,gravity,poor
752,-0.11592687,gravity,poor
753,-0.117196105,gravity,poor
754,-0.10256684,gravity,poor
755,-0.07793497,gravity,poor
756,-0.052419145,gravity,poor
757,-0.03473195,gravity,poor
758,-0.031213941,gravity,poor
759,-0.044280812,gravity,poor
760,-0.071273476,gravity,poor
761,-0.10443688,gravity,poor
762,-0.13325015,gravity,poor
763,-0.14900887,gravity,poor
764,-0.14822088,gravity,poor
765,-0.13302855,gravity,poor
766,-0.10967659,gravity,poor
767,-0.08624097,gravity,poor
768,-0.07047012,gravity,poor
769,-0.06624616,gravity,poor
770,-0.07228537,gravity,poor
771,-0.085592456,gravity,poor
772,-0.1026664,gravity,poor
773,-0.119819045,gravity,poor
774,-0.13250795,gravity,poor
775,-0.1346842,gravity,poor
776,-0.119095854,gravity,poor
777,-0.0793132,gravity,poor
778,-0.01323214,gravity,poor
779,0.066494524,gravity,poor
780,0.13320409,gravity,poor
781,0.16244352,gravity,poor
782,0.14628762,gravity,poor
783,0.09539579,gravity,poor
784,0.029802172,gravity,poor
785,-0.02933019,gravity,poor
786,-0.06396469,gravity,poor
787,-0.064008124,gravity,poor
788,-0.033623423,gravity,poor
789,0.004384717,gravity,poor
790,0.026292099,gravity,poor
791,0.022913681,gravity,poor
792,-0.00019373471,gravity,poor
793,-0.029444596,gravity,poor
794,-0.05049804,gravity,poor
795,-0.054276016,gravity,poor
796,-0.041641556,gravity,poor
797,-0.023968836,gravity,poor
798,-0.016147783,gravity,poor
799,-0.02362653,gravity,poor
800,-0.03526383,gravity,poor
801,-0.03319312,gravity,poor
802,-0.009373082,gravity,poor
803,0.029815672,gravity,poor
804,0.072119,gravity,poor
805,0.10780198,gravity,poor
806,0.13232411,gravity,poor
807,0.14592029,gravity,poor
808,0.1522174,gravity,poor
809,0.1574498,gravity,poor
810,0.16675137,gravity,poor
811,0.17890939,gravity,poor
812,0.184393,gravity,poor
813,0.16915616,gravity,poor
814,0.12617236,gravity,poor
815,0.0661924,gravity,poor
816,0.012969384,gravity,poor
817,-0.014402498,gravity,poor
818,-0.01134097,gravity,poor
819,0.014052891,gravity,poor
820,0.04999863,gravity,poor
821,0.086677805,gravity,poor
822,0.116440296,gravity,poor
823,0.1343419,gravity,poor
824,0.14009532,gravity,poor
825,0.1384161,gravity,poor
826,0.1331842,gravity,poor
827,0.120716766,gravity,poor
828,0.04024879,gravity,poor
829,0.05520749,gravity,poor
830,0.0718701,gravity,poor
831,0.08472371,gravity,poor
832,0.09615194,gravity,poor
833,0.10947007,gravity,poor
834,0.12746763,gravity,poor
835,0.15059829,gravity,poor
836,0.17451592,gravity,poor
837,0.18799016,gravity,poor
838,0.1747155,gravity,poor
839,0.12372158,gravity,poor
840,0.040782645,gravity,poor
841,-0.055598456,gravity,poor
842,-0.146094,gravity,poor
843,-0.21840383,gravity,poor
844,-0.26780862,gravity,poor
845,-0.29455775,gravity,poor
846,-0.30104282,gravity,poor
847,-0.28960502,gravity,poor
848,-0.2611128,gravity,poor
849,-0.21796231,gravity,poor
850,-0.1665234,gravity,poor
851,-0.11572643,gravity,poor
852,-0.075364925,gravity,poor
853,-0.05341645,gravity,poor
854,-0.053920105,gravity,poor
855,-0.07510912,gravity,poor
856,-0.1079116,gravity,poor
857,-0.13684681,gravity,poor
858,-0.14606617,gravity,poor
859,-0.12887105,gravity,poor
860,-0.09227079,gravity,poor
861,-0.05079098,gravity,poor
862,-0.018136498,gravity,poor
863,-0.00231714,gravity,poor
864,-0.0044823964,gravity,poor
865,-0.019825041,gravity,poor
866,-0.039651856,gravity,poor
867,-0.05442711,gravity,poor
868,-0.057490077,gravity,poor
869,-0.04813397,gravity,poor
870,-0.031454913,gravity,poor
871,-0.014518643,gravity,poor
872,-0.0026450232,gravity,poor
873,0.0018602664,gravity,poor
874,-0.0008745027,gravity,poor
875,-0.009034107,gravity,poor
876,-0.01914804,gravity,poor
877,-0.025635902,gravity,poor
878,-0.020741904,gravity,poor
879,0.00042156817,gravity,poor
880,0.033480454,gravity,poor
881,0.066811465,gravity,poor
882,0.08925176,gravity,poor
883,0.096699566,gravity,poor
884,0.091892704,gravity,poor
885,0.08112395,gravity,poor
886,0.07164699,gravity,poor
887,0.0700419,gravity,poor
888,0.080745526,gravity,poor
889,0.10135483,gravity,poor
890,0.120834224,gravity,poor
891,0.1241268,gravity,poor
892,0.100513384,gravity,poor
893,0.05041756,gravity,poor
894,-0.016007341,gravity,poor
895,-0.084997356,gravity,poor
