dim,rho_arat,rho_fma,stream
382,-0.0006248600876015179,0.028357235767807524,gravity
383,-0.010816196485384885,0.01701140272674981,gravity
384,-0.020261107697978835,0.004665626796857826,gravity
385,0.006158007777812728,0.032147429192538206,gravity
386,0.020642837590404545,0.040011635872008997,gravity
387,0.043761886531676064,0.05461482347437371,gravity
388,0.06825764084563099,0.07029374236704661,gravity
389,0.08225233876794802,0.07735598402275781,gravity
390,0.09218583327084749,0.08118407164822543,gravity
391,0.10168029968245815,0.09225923182687634,gravity
392,0.11168502978394418,0.10623213833535095,gravity
393,0.11123825869280901,0.10918247253558508,gravity
394,0.09510571851291108,0.09633169837954556,gravity
395,0.07722558326768895,0.0814075700974699,gravity
396,0.059206848325216936,0.06722276540528258,gravity
397,0.03259880365317411,0.04235643621148734,gravity
398,0.018385753135189642,0.0312951963514745,gravity
399,0.0001494398970348116,0.016840492147915803,gravity
400,-0.024577055812341733,-0.0060994196165784316,gravity
401,-0.03501074810531628,-0.018207003427552427,gravity
402,-0.044461079417802675,-0.029147600526035388,gravity
403,-0.05130976278191101,-0.03932026004631847,gravity
404,-0.06619335708659053,-0.05859062114761191,gravity
405,-0.07466419891851198,-0.07158678529831568,gravity
406,-0.094648107221991,-0.0948986789108604,gravity
407,-0.12146753578983957,-0.12209124801928321,gravity
408,-0.13224269437603872,-0.13375183493176826,gravity
409,-0.12160613548708946,-0.12478792307989044,gravity
410,-0.10768344746334362,-0.11468022504658498,gravity
411,-0.08423299812864773,-0.09427767802939564,gravity
412,-0.06791694885239101,-0.0839959760131144,gravity
413,-0.0748244790153317,-0.09867417866591756,gravity
414,-0.08383191073660613,-0.11364548136115553,gravity
415,-0.06369933683607691,-0.09380748059984326,gravity
416,-0.033952280026318414,-0.06578897258556196,gravity
417,-0.022534452452871098,-0.05631464905028843,gravity
418,-0.010157267198459372,-0.04010907810247544,gravity
419,-0.007053098560052325,-0.03228353897477705,gravity
420,-0.010841748384877887,-0.02973766736608222,gravity
421,-0.007341138154337041,-0.019559594388550993,gravity
