dim,SRM,abs_SRM,stream
680,-0.08562142,0.08562142,gravity
681,-0.08647374,0.08647374,gravity
682,-0.08731658,0.08731658,gravity
683,-0.08811602,0.08811602,gravity
684,-0.08887371,0.08887371,gravity
685,-0.089623466,0.089623466,gravity
686,-0.09035502,0.09035502,gravity
687,-0.09102581,0.09102581,gravity
688,-0.0916904,0.0916904,gravity
689,-0.092349075,0.092349075,gravity
690,-0.09295085,0.09295085,gravity
691,-0.09353751,0.09353751,gravity
692,-0.09411929,0.09411929,gravity
693,-0.094667256,0.094667256,gravity
694,-0.0951825,0.0951825,gravity
695,-0.095694244,0.095694244,gravity
